"date","balanced","aggressive","conservative"
2003-10-31,1.03583145873614,1.04336879739525,1.01954448824594
2003-11-28,1.05708373732947,1.06827130589492,1.03302049067053
2003-12-31,1.11346837498784,1.1319356233692,1.07249087178021
2004-01-30,1.13192447122581,1.15269055554152,1.08651534614027
2004-02-27,1.15798570248656,1.18057215473456,1.10584912001859
2004-03-31,1.1622884998544,1.18420946327162,1.1081931643249
2004-04-30,1.10989694380147,1.13068208488352,1.06873800720338
2004-05-28,1.12185568997811,1.14571894818171,1.07621106135005
2004-06-30,1.1500330281402,1.17895859308255,1.09592875159667
2004-07-30,1.1140018992971,1.13418515752286,1.07566907401099
2004-08-31,1.12904464695181,1.14773408383621,1.08931954003497
2004-09-30,1.16451841762694,1.18696105263695,1.11057311303229
2004-10-29,1.18694156431028,1.21143097060322,1.1270672820885
2004-11-30,1.25875311120647,1.29637596529797,1.16780313284423
2004-12-31,1.29768439834495,1.34005593538672,1.1954719487855
2005-01-31,1.27743446538274,1.31411607152798,1.18305029345699
2005-02-28,1.32795431937205,1.37095383671069,1.2106658676595
2005-03-31,1.28222701714023,1.32218100461812,1.18092367318427
2005-04-29,1.25938317400835,1.29098862537133,1.17239392626752
2005-05-31,1.29139402064474,1.32695403050335,1.19707806212128
2005-06-30,1.32005467741629,1.35793231654943,1.21493159467224
2005-07-29,1.37574019447652,1.42373539835998,1.24581639693512
2005-08-31,1.38534177760043,1.43212152564692,1.25323257908368
2005-09-30,1.42565297995676,1.47711940381392,1.27137160367121
2005-10-31,1.37456883024034,1.4212519662752,1.23771957917134
2005-11-30,1.42684189599862,1.48077421641944,1.27327413716571
2005-12-30,1.46334085272787,1.51838897849275,1.29534190785543
2006-01-31,1.56851450595125,1.63612141721265,1.35228420426015
2006-02-28,1.55176199976551,1.61913079110948,1.34562499169097
2006-03-31,1.59221283063924,1.66922207073632,1.36585159476315
2006-04-28,1.64062413061897,1.72291545958693,1.39202732521722
2006-05-31,1.55112606727341,1.62446145162263,1.34045653603817
2006-06-30,1.55228160590028,1.62602364136746,1.34095222812321
2006-07-31,1.55887028352297,1.62890270440294,1.3502417846324
2006-08-31,1.59196775629374,1.66519837758322,1.37703906298781
2006-09-29,1.60225983675117,1.67681119455765,1.39146888635641
2006-10-31,1.67390594823341,1.75731131546171,1.43644874286062
2006-11-30,1.72878095088277,1.81670502922376,1.47223232064822
2006-12-29,1.77104602536049,1.86424206883578,1.49393783784674
2007-01-31,1.78887347597845,1.88653606531233,1.50590104257834
2007-02-28,1.76619671694254,1.8587445487476,1.49645990876423
2007-03-30,1.81031804484564,1.90771492502424,1.52029971056832
2007-04-30,1.86610294391055,1.97125253211125,1.56035705816988
2007-05-31,1.92895760160555,2.04502502751149,1.59603549123349
2007-06-29,1.93439090889402,2.0474195114084,1.59376745085477
2007-07-31,1.89778763953845,1.998219071042,1.57224507743533
2007-08-31,1.91280005247565,2.01255405797936,1.58773538173505
2007-09-28,2.01912208286614,2.12662118339733,1.6524075668208
2007-10-31,2.12790035198205,2.24037451744842,1.71411729854565
2007-11-30,2.01961937307644,2.11519185300935,1.65783245547727
2007-12-31,1.99073926621325,2.08155064707163,1.64070921767725
2008-01-31,1.86955408951772,1.9398486794808,1.5756313543392
2008-02-29,1.85926372214265,1.92427000896349,1.56417111976215
2008-03-31,1.83741203202494,1.90259735218432,1.5518922487949
2008-04-30,1.93700140245448,2.01233778177516,1.61311070962955
2008-05-30,1.97691420375596,2.06002067151183,1.63103923189484
2008-06-30,1.82297122542968,1.88397253950793,1.53457118049037
2008-07-31,1.78316361666489,1.84185904060949,1.51446855726136
2008-08-29,1.75110862244412,1.80932256848655,1.50469726134201
2008-09-30,1.58356686755633,1.62442077180844,1.39403489418548
2008-10-31,1.28909673072797,1.29188287630512,1.20641769168822
2008-11-28,1.20207755131898,1.1846506486731,1.16430157542576
2008-12-31,1.2877147566085,1.26760904613499,1.23638685613705
2009-01-30,1.16661805089578,1.12941112757369,1.15493089913002
2009-02-27,1.07579861149084,1.02348718256986,1.09043450498266
2009-03-31,1.17173790272094,1.12816770060173,1.15319007163637
2009-04-30,1.30445703254985,1.27928163694644,1.23474295349388
2009-05-29,1.41399743879924,1.39844468609172,1.30100175854458
2009-06-30,1.40415581344583,1.38769372069636,1.29784311334614
2009-07-31,1.52430457103039,1.52214269869762,1.37485695640432
2009-08-31,1.55079363236854,1.5537736157473,1.39960484110973
2009-09-30,1.63524912824847,1.64355945665113,1.45322873108276
2009-10-30,1.58778076495009,1.5883639764344,1.42715646345606
2009-11-30,1.66639248667992,1.67283396926263,1.48296371053022
2009-12-31,1.70854383178904,1.72587237208263,1.49871508350927
2010-01-29,1.63392286353834,1.6403318511339,1.46115911615512
2010-02-26,1.66572741824232,1.67714261553259,1.48355972156472
2010-03-31,1.76803151149912,1.79380703491943,1.54590015036668
2010-04-30,1.78554039453943,1.81334831186392,1.56221796975025
2010-05-28,1.64703424455228,1.65134461280209,1.48228798030717
2010-06-30,1.60030630588029,1.59001794965697,1.45788732439991
2010-07-30,1.72778607166287,1.73240174923545,1.53760424033785
2010-08-31,1.66552792434381,1.65578168359954,1.50443432818333
2010-09-30,1.81397774875919,1.82446861037485,1.59453015562007
2010-10-29,1.86836835451845,1.88719548622533,1.62983832691271
2010-11-30,1.83852381416691,1.85704974305662,1.61077767031818
2010-12-31,1.95727185996999,1.9957196567316,1.68020288884458
2011-01-31,1.94367834764395,1.98556855796677,1.67796232342732
2011-02-28,1.98197555715416,2.03270264965015,1.70611256086962
